normal X: -3.552 | normal Y: 5.948 || Velocity X: 14.417 | Velocity Y: 0.000
Filtered X: -3.136 | Filtered Y: 6.131 || Velocity X: 18.294 | Velocity Y: 3.550
normal X: -3.071 | normal Y: 6.184 || Velocity X: 24.028 | Velocity Y: 11.793
Filtered X: -2.860 | Filtered Y: 6.091 || Velocity X: 15.636 | Velocity Y: 0.261
normal X: -2.975 | normal Y: 5.948 || Velocity X: 4.805 | Velocity Y: -11.793
Filtered X: -2.608 | Filtered Y: 6.169 || Velocity X: 13.827 | Velocity Y: 2.429
normal X: -2.687 | normal Y: 6.263 || Velocity X: 14.417 | Velocity Y: 15.724
Filtered X: -2.530 | Filtered Y: 6.272 || Velocity X: 7.974 | Velocity Y: 4.036
normal X: -2.783 | normal Y: 6.341 || Velocity X: -4.805 | Velocity Y: 3.931
Filtered X: -2.425 | Filtered Y: 6.417 || Velocity X: 6.360 | Velocity Y: 5.932
normal X: -2.495 | normal Y: 6.499 || Velocity X: 14.417 | Velocity Y: 7.862
Filtered X: -2.257 | Filtered Y: 6.554 || Velocity X: 7.545 | Velocity Y: 6.477
normal X: -2.206 | normal Y: 6.577 || Velocity X: 14.417 | Velocity Y: 3.931
Filtered X: -2.150 | Filtered Y: 6.671 || Velocity X: 6.252 | Velocity Y: 6.123
normal X: -2.206 | normal Y: 6.656 || Velocity X: 0.000 | Velocity Y: 3.932
Filtered X: -2.147 | Filtered Y: 6.664 || Velocity X: 2.655 | Velocity Y: 2.293
normal X: -2.302 | normal Y: 6.499 || Velocity X: -4.806 | Velocity Y: -7.863
Filtered X: -2.059 | Filtered Y: 6.618 || Velocity X: 3.688 | Velocity Y: -0.453
normal X: -2.014 | normal Y: 6.499 || Velocity X: 14.417 | Velocity Y: 0.000
Filtered X: -2.040 | Filtered Y: 6.560 || Velocity X: 2.064 | Velocity Y: -1.878
normal X: -2.110 | normal Y: 6.499 || Velocity X: -4.805 | Velocity Y: 0.000
Filtered X: -2.005 | Filtered Y: 6.478 || Velocity X: 1.863 | Velocity Y: -3.210
normal X: -2.014 | normal Y: 6.420 || Velocity X: 4.805 | Velocity Y: -3.930
Filtered X: -2.072 | Filtered Y: 6.416 || Velocity X: -1.228 | Velocity Y: -3.125
normal X: -2.206 | normal Y: 6.420 || Velocity X: -9.611 | Velocity Y: 0.000
Filtered X: -2.145 | Filtered Y: 6.417 || Velocity X: -2.645 | Velocity Y: -1.246
normal X: -2.206 | normal Y: 6.499 || Velocity X: 0.000 | Velocity Y: 3.930
Filtered X: -2.201 | Filtered Y: 6.370 || Velocity X: -2.755 | Velocity Y: -1.908
normal X: -2.206 | normal Y: 6.341 || Velocity X: 0.000 | Velocity Y: -7.862
Filtered X: -2.277 | Filtered Y: 6.267 || Velocity X: -3.348 | Velocity Y: -3.826
normal X: -2.302 | normal Y: 6.184 || Velocity X: -4.806 | Velocity Y: -7.862
Filtered X: -2.410 | Filtered Y: 6.291 || Velocity X: -5.308 | Velocity Y: -0.848
normal X: -2.495 | normal Y: 6.420 || Velocity X: -9.611 | Velocity Y: 11.794
Filtered X: -2.591 | Filtered Y: 6.235 || Velocity X: -7.525 | Velocity Y: -2.017
normal X: -2.687 | normal Y: 6.184 || Velocity X: -9.612 | Velocity Y: -11.794
Filtered X: -2.717 | Filtered Y: 6.190 || Velocity X: -6.817 | Velocity Y: -2.150
normal X: -2.687 | normal Y: 6.184 || Velocity X: 0.000 | Velocity Y: 0.000
Filtered X: -2.907 | Filtered Y: 6.025 || Velocity X: -8.392 | Velocity Y: -5.748
normal X: -2.975 | normal Y: 5.870 || Velocity X: -14.417 | Velocity Y: -15.724
Filtered X: -3.115 | Filtered Y: 5.962 || Velocity X: -9.593 | Velocity Y: -4.236
normal X: -3.167 | normal Y: 6.027 || Velocity X: -9.611 | Velocity Y: 7.862
